"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 06 03:46:46 UTC 2023","Fri Oct 06 03:46:52 UTC 2023","5552","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Fri Oct 06 03:39:13 UTC 2023","Fri Oct 06 03:39:14 UTC 2023","1072","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Oct 06 03:39:00 UTC 2023","Fri Oct 06 03:39:09 UTC 2023","9080","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Oct 06 02:51:10 UTC 2023","Fri Oct 06 02:51:23 UTC 2023","12377","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Oct 06 02:47:57 UTC 2023","Fri Oct 06 02:48:00 UTC 2023","3463","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Oct 06 03:38:53 UTC 2023","Fri Oct 06 03:38:59 UTC 2023","5955","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Oct 06 03:22:28 UTC 2023","Fri Oct 06 03:22:32 UTC 2023","3436","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Oct 06 03:43:57 UTC 2023","Fri Oct 06 03:44:09 UTC 2023","12401","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Oct 06 03:28:16 UTC 2023","Fri Oct 06 03:28:35 UTC 2023","19736","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Oct 06 03:15:44 UTC 2023","Fri Oct 06 03:15:47 UTC 2023","2364","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Oct 06 02:31:21 UTC 2023","Fri Oct 06 02:31:34 UTC 2023","12451","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Oct 06 03:04:37 UTC 2023","Fri Oct 06 03:04:48 UTC 2023","11275","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Oct 06 02:21:32 UTC 2023","Fri Oct 06 02:21:55 UTC 2023","22832","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
